Ind_ID;Plot_ID;zone;vegetation;means;Ratio_AB/BB;AB/BB;BB_DW_total;BB [g];BB_g*cm^-2;AB_DW_total;bag_weight;AB [g];AB_g*cm^-2;biomass_DW;Atriplex_portulacoides;Limonium_vulgare;Spartina_anglica;Elymus_athericus;Salicornia_europea;Artemisia_maritima;Suaeda_maritima;Triglochin_maritimum;Aster_tripolium;Puccinelia_maritima;ind1;ind2;ind3;Litter
4L;4;pioneer;veg;;0.762702761;0.599007681;13.35;9.309;0.029632341;25.51;18.41;7.1;0.01775;16.409;;;10.1;;6.51;;;;;;6.42;;;6.01
4R;4;pioneer;veg;;2.440887061;1.917011676;10.85;6.809;0.021674359;34.63;18.01;16.62;0.04155;23.429;;;10.16;;10.46;;;;;8.78;;;;8.76
5L;5;pioneer;veg;;0.526689759;0.41364897;15.3;11.259;0.035839567;24.75;18.82;5.93;0.014825;17.189;;;7.99;;7.62;;;;;;;;;6.94
5R;5;pioneer;veg;;1.508032475;1.184371005;9.83;5.789;0.018427503;27.13;18.4;8.73;0.021825;14.519;;;9.76;;7.16;;;;;;;;;6.03
6L;6;pioneer;veg;;0.800775335;0.628908928;20.55;16.509;0.052551329;31.75;18.53;13.22;0.03305;29.729;;;14.3;;6.8;;;;;5.68;;;;8.31
6R;6;pioneer;veg;1.12573897;0.71534643;0.561815202;27.61;23.569;0.07502467;35.77;18.91;16.86;0.04215;40.429;;;18.88;;6.03;;;;;;;;;8.54
7L;7;low_marsh;veg;;12.06380465;9.474610575;6.58;2.539;0.008082126;49.39;18.76;30.63;0.076575;33.169;35.85;;;;;;;;;;;;;
7R;7;low_marsh;veg;;5.060410228;3.974319682;7.6;3.559;0.011328983;36.4;18.39;18.01;0.045025;21.569;20.67;;;;;;;;;8.5;;;;
8L;8;low_marsh;veg;;2.271527944;1.784001259;8.21;4.169;0.013270731;27.51;18.04;9.47;0.023675;13.639;14.55;5.89;;;;5.73;;;;;;;;5.83
8R;8;low_marsh;veg;;2.99325209;2.35082536;13.97;9.929;0.031605921;48.17;18.45;29.72;0.0743;39.649;33.49;7.56;;;;;;;;;;;;
9L;9;low_marsh;veg;;5.51342812;4.33010861;12.27;8.229;0.026194493;63.83;18.46;45.37;0.113425;53.599;48.06;8.3;;;;;;;;;;;;5.96
9R;9;low_marsh;veg;5.194008974;3.261630815;2.561603302;6.04;1.999;0.006363202;24.76;18.24;6.52;0.0163;8.519;11.29;6.42;;;;;;;;;;;;
10L;10;high_marsh;veg;;7.745860088;6.083404867;7;2.959;0.009419067;41.24;18.32;22.92;0.0573;25.879;;;;25.71;;;;;;;;;;7.83
10R;10;high_marsh;veg;;4.610778443;3.62119012;10.22;6.179;0.019668948;46.98;18.49;28.49;0.071225;34.669;;;;31.22;;;;;;;;;;7.27
11L;11;high_marsh;veg;;2.325772069;1.826603239;7.7;3.659;0.011647302;26.83;18.32;8.51;0.021275;12.169;;;;13;;;;;;;;;;5.96
11R;11;high_marsh;veg;;7.153192828;5.617938817;7.22;3.179;0.01011937;41.13;18.39;22.74;0.05685;25.919;;;;20.02;;;;;;;;;;14.03
12L;12;high_marsh;veg;;2.922349518;2.295140253;9.54;5.499;0.017504377;34.35;18.28;16.07;0.040175;21.569;;;;19.53;;;;;;;;;;7.84
12L?;12;high_marsh;veg;4.848121161;4.33077402;3.401281646;8.86;4.819;0.015339806;39.46;18.59;20.87;0.052175;25.689;;;;17.85;;;;;;;;;;12.35
;;;;;;;;;;;18.43388889;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;Bags;;5.662;;;5.65;5.63;;;;5.66;5.67;5.67;5.61;5.64;5.69;5.7;;5.7;;;;;
;;;;;Ja-Bags;;4.041;;;4.06;4.07;;;;4;4.04;4.04;4.03;4.08;4.02;4.02;;4.05;;;;;
