Sample_ID;zone;vegetation;Plot_ID;veg_non_veg;FGW+btl;FGW_LOI;FGW_Enzyme;W_dry;W_105;W_105t;W_700;weight_container;W_700t;OM;OM[%ofDW];ph;ph_2;ph_3;mS;uS_sedimentiert;uS_filtered;
P1;mudflat;;2;;128.76;79.3;57.23;33.57;45.15;23.25;42.79;21.9;20.89;2.36;7.030086387;7.681;;;8.02;;;
P2;mudflat;;3;;139.22;89.77;57.25;38.72;47.68;28.67;44.73;19.01;25.72;2.95;7.618801653;7.493;;6.77;NA;;;
P3;mudflat;;4;;151.84;98.41;57.62;40.07;31.79;12.21;30.49;19.58;10.91;1.3;3.244322436;7.362;;6.942;11.67;;;
P4L;pioneer;veg;5;;151.28;82.98;70.73;47.43;34.65;14.66;33.56;19.99;13.57;1.09;2.29812355;7.409;;;7.34;;;
P4R;pioneer;veg;6;;155.3;79.36;81.59;45.58;39.06;17.03;37.73;22.03;15.7;1.33;2.917946468;7.239;;7.034;9.43;;;
P5L;pioneer;veg;7;;152.49;80.95;75.98;47.48;36.05;18.27;34.58;17.78;16.8;1.47;3.096040438;7.32;;6.783;6.82;6.37;;
P5R;pioneer;veg;8;;152.01;79.49;76.38;49.48;42.3;22.72;40.7;19.58;21.12;1.6;3.233629749;7.315;;;8.08;5.42;;
P6L;pioneer;veg;9;;126.28;66.51;64.28;34.42;33.47;13.94;32.15;19.53;12.62;1.32;3.834979663;7.372;6.839;6.983;9.86;7.77;;
P6R;pioneer;veg;10;;129.89;64.2;69.25;33.26;33.32;12.73;31.92;20.59;11.33;1.4;4.209260373;7.343;;;10.53;12.09;;
P7L;low_marsh;veg;11;;151.17;75.6;80.74;43.16;34.72;13;32.98;21.72;11.26;1.74;4.031510658;7.124;6.7;6.812;6.15;5.04;;
P7R;low_marsh;veg;12;;145.63;75.97;72.07;43.86;54.64;33.09;50.93;21.55;29.38;3.71;8.45873233;7.008;;7.004;NA;;;
P8L;low_marsh;veg;13;;139.86;66.58;76.14;35.55;35.04;15.16;32.61;19.88;12.73;2.43;6.835443038;7.035;;7.129;5.04;4.18;;
P8R;low_marsh;veg;14;;141.23;67.37;78.66;40.13;37.88;17.99;35.76;19.89;15.87;2.12;5.2828308;7.325;7.192;7.146;4.3;3.03;;
P9L;low_marsh;veg;15;;168.35;80.21;93.38;52.18;32.57;15.58;31.91;16.99;14.92;0.66;1.264852434;7.381;7.246;7.232;2.93;2.51;;
P9R;low_marsh;veg;16;;161.25;74.11;91.66;47.08;33.9;13.55;33.26;20.35;12.91;0.64;1.359388275;7.489;;;4.08;5.51;;
P10L;high_marsh;veg;17;;141.71;65.02;82.39;41.29;33.66;13.15;31.78;20.51;11.27;1.88;4.553160572;7.184;7.272;;2.48;1.76;;
P10R;high_marsh;veg;18;;120.97;58.25;67.36;33.21;30.43;10.96;28.52;19.47;9.05;1.91;5.751279735;7.135;;7.171;1.781;1.201;;
P11L;high_marsh;veg;19;;150.44;82.07;73.3;49.91;41.48;21.29;39.64;20.19;19.45;1.84;3.686635945;7.573;;;2.08;2.46;;
P11R;high_marsh;veg;20;;133.89;65.13;73.33;37.05;39.52;18.17;36.95;21.35;15.6;2.57;6.9365722;7.538;;;1.315;1.545;;
P12L;high_marsh;veg;21;;134.22;67.51;71.19;37.09;33.27;12.23;32.17;21.04;11.13;1.1;2.965758965;7.585;;;3.04;4.23;;
P12R;high_marsh;veg;22;;72.02;43.87;35.27;23.86;34.88;14.87;32.78;20.01;12.77;2.1;8.801341157;7.23;;;NA;;;
P4N;pioneer;non_veg;23;x;139.99;71.48;72.28;40.12;32.4;12.67;31.38;19.73;11.65;1.02;2.542372881;7.505;;;5.17;5.34;;
P5N;pioneer;non_veg;24;x;152.92;81.07;76.82;47.59;34.83;14.94;34.03;19.89;14.14;0.8;1.681025426;7.484;;;6.31;6.69;;
P6N;pioneer;non_veg;25;x;141.87;78.15;72.01;39.76;52.451;31.031;49.47;21.42;28.05;2.981;7.497484909;7.493;;;NA;;;2g
P7N;low_marsh;non_veg;26;x;120.94;72.6;53.62;48.85;41.4;21.5;40.05;19.9;20.15;1.35;2.763561924;7.396;;;3.17;3.6;;
P8N;low_marsh;non_veg;27;x;112.85;64.56;54;40.2;36.72;17.19;35.31;19.53;15.78;1.41;3.507462687;7.466;;;3.55;4.18;;
P9N;low_marsh;non_veg;28;x;137.01;62.7;79.78;42.56;32.89;13.01;32.09;19.88;12.21;0.8;1.879699248;8.935;;;3.37;3.18;3.22;
P10N;high_marsh;non_veg;29;x;117.33;59.99;61.7;41.02;33;14.06;31.87;18.94;12.93;1.13;2.754753779;7.638;;;0.86;0.83;;
P11N;high_marsh;non_veg;30;x;113.56;70.76;48.08;44.6;36.16;16.2;34.86;19.96;14.9;1.3;2.914798206;7.627;;;1.93;1.93;;
P12N;high_marsh;non_veg;31;x;94.04;61.71;36.35;39.19;35.43;16.06;34.05;19.37;14.68;1.38;3.521306456;7.645;;;3.45;3.17;3.63;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
